Name,Símbolo,Mercado,Último (Preço),%,Data/Hora,Link
Geberit,1GEBN,BGEM,"EUR 665,00","-1,48%",14:15 CET,https://live.euronext.com/pt/product/equities/CH0030170408-BGEM
GECI INTL,ALGEC,ALXP,"EUR 2,85","-0,70%",17:10 CET,https://live.euronext.com/pt/product/equities/FR001400M1R1-ALXP
GECINA,GFC,XPAR,"EUR 79,65","-0,19%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0010040865-XPAR
GECINA,2GFC,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0010040865-MTAH
GEFRAN,GE,MTAA,"EUR 10,20","-0,97%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0003203947-MTAA
GEL,GEL,EXGM,"EUR 2,44","-0,81%",15 Jan 2026,https://live.euronext.com/pt/product/equities/IT0005312365-EXGM
GEN DIGITAL,1NLOK,BGEM,"EUR 23,00","-2,54%",13 Nov 2025,https://live.euronext.com/pt/product/equities/US6687711084-BGEM
GEN DIGITAL,2NLOK,MTAH,"EUR 23,00","1,77%",31 Oct 2025,https://live.euronext.com/pt/product/equities/US6687711084-MTAH
GEN DIGITAL,4NLOK,ETLX,"EUR 22,40","0,90%",08 Jan 2026,https://live.euronext.com/pt/product/equities/US6687711084-ETLX
Generac Hold,1GNRC,BGEM,"EUR 128,70","3,00%",06 Jan 2026,https://live.euronext.com/pt/product/equities/US3687361044-BGEM
GENERAL DYNAMICS,1GD,BGEM,"EUR 318,20","1,86%",15:36 CET,https://live.euronext.com/pt/product/equities/US3695501086-BGEM
GENERAL DYNAMICS,2GD,MTAH,"EUR 293,30","-1,73%",20 Nov 2025,https://live.euronext.com/pt/product/equities/US3695501086-MTAH
GENERAL DYNAMICS,4GD,ETLX,"EUR 273,95","1,26%",19 Aug 2025,https://live.euronext.com/pt/product/equities/US3695501086-ETLX
General Mills Inc,1GIS,BGEM,"EUR 39,55","1,32%",09:00 CET,https://live.euronext.com/pt/product/equities/US3703341046-BGEM
GENERAL MOTORS,2GM,MTAH,"EUR 70,45","0,34%",07 Jan 2026,https://live.euronext.com/pt/product/equities/US37045V1008-MTAH
GENERAL MOTORS,1GM,BGEM,"EUR 69,95","-0,50%",13:31 CET,https://live.euronext.com/pt/product/equities/US37045V1008-BGEM
GENERAL MOTORS,4GM,ETLX,"EUR 56,83","-1,42%",22 Oct 2025,https://live.euronext.com/pt/product/equities/US37045V1008-ETLX
GENERALFINANCE,GF,MTAA,"EUR 24,60","-0,81%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005144784-MTAA
GENERALI,2G,MTAH,"EUR 35,00","0,20%",15 Jan 2026,https://live.euronext.com/pt/product/equities/IT0000062072-MTAH
GENERALI,G,MTAA,"EUR 34,94","0,03%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0000062072-MTAA
GENESIS,MLGNS,XMLI,"EUR 1,58",-,20 Dec 2024,https://live.euronext.com/pt/product/equities/ES0105807004-XMLI
GENEURO,GNRO,XPAR,"EUR 0,0322","6,62%",16:01 CET,https://live.euronext.com/pt/product/equities/CH0308403085-XPAR
GENFIT,GNFT,XPAR,"EUR 5,265","-2,59%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0004163111-XPAR
GENOWAY,ALGEN,ALXP,"EUR 2,55","8,51%",16:46 CET,https://live.euronext.com/pt/product/equities/FR0004053510-ALXP
GENSIGHT BIOLOGICS,SIGHT,XPAR,"EUR 0,0915","3,62%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0013183985-XPAR
GENSIGHT BSA,SIGBS,ALXP,-,-,-,https://live.euronext.com/pt/product/equities/FR0014010IB4-ALXP
GENTIAN DIAGNOSTIC,GENT,XOSL,"NOK 58,60","-0,34%",16:27 CET,https://live.euronext.com/pt/product/equities/NO0010748866-XOSL
GENTILI MOSCONI,GM,EXGM,"EUR 3,52","1,73%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005531261-EXGM
GENTLEMENS EQUITY,MLGEQ,XMLI,"EUR 0,021",-,11:30 CET,https://live.euronext.com/pt/product/equities/PTGVE1AE0009-XMLI
Genuine Parts Co,1GPC,BGEM,"EUR 111,45","0,54%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US3724601055-BGEM
GEORG FISCHER,1GF,BGEM,"EUR 57,50",-,30 Dec 2025,https://live.euronext.com/pt/product/equities/CH1169151003-BGEM
GEOX,GEO,MTAA,"EUR 0,31","-2,36%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0003697080-MTAA
GERON CORP,1GERN,BGEM,"EUR 1,1335","-0,09%",17:11 CET,https://live.euronext.com/pt/product/equities/US3741631036-BGEM
Gerresheimer,1GXI,BGEM,"EUR 28,34","-4,06%",29 Dec 2025,https://live.euronext.com/pt/product/equities/DE000A0LD6E6-BGEM
Getinge AB,1GETI,BGEM,"EUR 19,80",-,30 Dec 2025,https://live.euronext.com/pt/product/equities/SE0000202624-BGEM
GETLINK SE,2GET,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0010533075-MTAH
GETLINK SE,GET,XPAR,"EUR 16,18","1,51%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0010533075-XPAR
GEVELOT,ALGEV,ALXP,"EUR 172,00",-,11:30 CET,https://live.euronext.com/pt/product/equities/FR0000033888-ALXP
GIG,CABLE,XAMS,"GBP 2,72",-,03 Oct 2025,https://live.euronext.com/pt/product/equities/GG00BMB5XZ39-XAMS
GIGANTE SALMON,GIGA,MERK,"NOK 8,42","0,24%",16:09 CET,https://live.euronext.com/pt/product/equities/NO0011013765-MERK
GIGLIO.COM,GCOM,EXGM,"EUR 0,845","-0,59%",16:01 CET,https://live.euronext.com/pt/product/equities/IT0005453003-EXGM
GILEAD SCIENCES,4GILD,ETLX,"EUR 96,88","1,41%",25 Sep 2025,https://live.euronext.com/pt/product/equities/US3755581036-ETLX
GILEAD SCIENCES,1GILD,BGEM,"EUR 106,84","0,47%",17:29 CET,https://live.euronext.com/pt/product/equities/US3755581036-BGEM
GILEAD SCIENCES,2GILD,MTAH,"EUR 105,54",-,07 Jan 2026,https://live.euronext.com/pt/product/equities/US3755581036-MTAH
GIMV,GIMB,XBRU,"EUR 46,05","-0,54%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0003699130-XBRU
GIOCAMONDO STUDY,GMS,EXGM,"EUR 1,745","-1,13%",15:58 CET,https://live.euronext.com/pt/product/equities/IT0005652489-EXGM
GISMONDI 1754,GIS,EXGM,"EUR 1,41","-0,70%",17:12 CET,https://live.euronext.com/pt/product/equities/IT0005391138-EXGM
GITLAB INC-CL A,1GTLB,BGEM,"EUR 29,60","-3,90%",15:32 CET,https://live.euronext.com/pt/product/equities/US37637K1088-BGEM
Givaudan,1GIVN,BGEM,"EUR 3 420,00",-,13 Jan 2026,https://live.euronext.com/pt/product/equities/CH0010645932-BGEM
GJENSIDIGE FORSIKR,GJF,XOSL,"NOK 279,20","-0,71%",16:26 CET,https://live.euronext.com/pt/product/equities/NO0010582521-XOSL
GL EVENTS,GLO,XPAR,"EUR 28,45","-3,07%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000066672-XPAR
GLANBIA PLC,GL9,XMSM,"EUR 15,73","0,90%",16:30 GMT,https://live.euronext.com/pt/product/equities/IE0000669501-XMSM
GLASS TO POWER,MLGL,XMLI,-,-,-,https://live.euronext.com/pt/product/equities/IT0005613739-XMLI
GLENCORE,4GLEN,ETLX,"EUR 5,652","-0,63%",13:32 CET,https://live.euronext.com/pt/product/equities/JE00B4T3BW64-ETLX
GLENVEAGH PROP.PLC,GVR,XMSM,"EUR 2,01","1,01%",16:30 GMT,https://live.euronext.com/pt/product/equities/IE00BD6JX574-XMSM
GLINTT,GLINT,XLIS,"EUR 1,42","-4,05%",15:01 WET,https://live.euronext.com/pt/product/equities/PTPAD0AM0007-XLIS
GLOBAL PAYMENTS,1GPN,BGEM,"EUR 69,80","-1,22%",19 Dec 2025,https://live.euronext.com/pt/product/equities/US37940X1028-BGEM
GLOBAL PAYMENTS,4GPN,ETLX,"EUR 69,44","1,73%",15 Jul 2025,https://live.euronext.com/pt/product/equities/US37940X1028-ETLX
GLOBAL PAYMENTS,2GPN,MTAH,"EUR 108,75","0,51%",06 Feb 2025,https://live.euronext.com/pt/product/equities/US37940X1028-MTAH
GLOBAL PIELAGO,MLNDG,XMLI,"EUR 4,92",-,16 Apr 2021,https://live.euronext.com/pt/product/equities/ES0105537007-XMLI
GLOBALBIOENERGIES,ALGBE,ALXP,"EUR 0,0185","-7,50%",28 Nov 2025,https://live.euronext.com/pt/product/equities/FR0011052257-ALXP
GLOBALFOUNDRIES,1GFS,BGEM,"EUR 36,36","-0,22%",17:35 CET,https://live.euronext.com/pt/product/equities/KYG393871085-BGEM
GoDaddy Inc,1GDDY,BGEM,"EUR 94,50","2,72%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US3802371076-BGEM
GOLD BY GOLD,ALGLD,ALXP,"EUR 3,64",-,16:30 CET,https://live.euronext.com/pt/product/equities/FR0011208693-ALXP
GOLDEN ENERGY OFF,GEOS,MERK,"NOK 6,50","-1,52%",15:44 CET,https://live.euronext.com/pt/product/equities/NO0013228585-MERK
GOLDMAN SACHS GR,2GSG,MTAH,"EUR 857,00","2,98%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US38141G1040-MTAH
GOLDMAN SACHS GR,4GS,ETLX,"EUR 628,50","-5,57%",17 Oct 2025,https://live.euronext.com/pt/product/equities/US38141G1040-ETLX
GOLDMAN SACHS GR,1GS,BGEM,"EUR 829,10","-0,37%",16:03 CET,https://live.euronext.com/pt/product/equities/US38141G1040-BGEM
GOODTECH,GOD,XOSL,"NOK 9,84","-0,20%",16:10 CET,https://live.euronext.com/pt/product/equities/NO0004913609-XOSL
GOODYEAR TIRE & RU,1GT,BGEM,"EUR 7,732","-0,82%",08 Jan 2026,https://live.euronext.com/pt/product/equities/US3825501014-BGEM
